metric,value
Initial Cash,10000.0
Ending Equity,14472.01259774627
Total Return,0.4472012597746271
Annualized Return,1.332153809267413
Max Drawdown,-0.18533425276817472
Sharpe,2.147312979819605
Trade Count,315.0
Total Fees,759.7308520842009
Fee Bps,10.0
Slippage Bps,5.0
