timestamp,equity,cash
2026-05-16 16:00:00,10000.0,10000.0
2026-05-17 16:00:00,9896.277728604147,0.0
2026-05-18 16:00:00,9852.670947778912,0.0
2026-05-19 16:00:00,10260.691686525295,0.0
2026-05-20 16:00:00,10402.660493370235,0.0
2026-05-21 16:00:00,10904.326313289926,10.731059220689076
2026-05-22 16:00:00,10778.02062572919,0.0
2026-05-23 16:00:00,10778.02062572919,0.0
2026-05-24 16:00:00,10778.02062572919,0.0
2026-05-25 16:00:00,11340.63177793453,0.0
2026-05-26 16:00:00,11111.506258687627,0.0
2026-05-27 16:00:00,11561.647573658196,70.26466642223113
2026-05-28 16:00:00,11667.921371233277,0.0
2026-05-29 16:00:00,11811.500320633333,0.0
2026-05-30 16:00:00,11811.500320633333,0.0
2026-05-31 16:00:00,12583.537897011845,0.0
2026-06-01 16:00:00,12561.83855649206,0.0
2026-06-02 16:00:00,11705.05960133929,0.0
2026-06-03 16:00:00,11485.304883790883,0.0
2026-06-04 16:00:00,10804.288913853346,0.0
2026-06-05 16:00:00,10406.600634798542,0.0
2026-06-06 16:00:00,10406.600634798542,0.0
2026-06-07 16:00:00,10575.331886285772,0.0
2026-06-08 16:00:00,10338.028970435978,49.06869998455613
2026-06-09 16:00:00,10392.81391271747,0.0
2026-06-10 16:00:00,10529.871398454728,51.25888156558267
2026-06-11 16:00:00,11231.756959403621,274.32036910565057
2026-06-12 16:00:00,11458.831700551535,274.32036910565057
2026-06-13 16:00:00,11460.898632700288,234.7817552178858
2026-06-14 16:00:00,11866.640466158975,0.0
2026-06-15 16:00:00,11537.54279984864,0.0
2026-06-16 16:00:00,11730.224405017158,9.877373670054567
2026-06-17 16:00:00,12178.29765573308,0.0
2026-06-18 16:00:00,12173.652403191103,0.0
2026-06-19 16:00:00,12203.391035601413,0.0
2026-06-20 16:00:00,12205.720972639312,0.0
2026-06-21 16:00:00,12132.448582016448,0.0
2026-06-22 16:00:00,11451.88150651366,0.0
2026-06-23 16:00:00,11242.181373987543,0.0
2026-06-24 16:00:00,11261.076359973786,0.0
