rank,ticker,category,exchange,symbol,source,last_date,price,rsi,trend_score,volume_score,technical_score,return_5d,return_20d,volatility_20d,momentum_raw,macro_score,sentiment_score,macro_summary,sentiment_summary,momentum_score,category_leader_score,score,reason
1,GEV,L0电网输配与电气设备,NYSE,RGEVUSDT,bitget,2026-06-24 16:00:00,1071.723,64.35843821530526,97.83312139297702,50.0,84.1289072010546,-0.027996756733225103,0.1236938401048493,0.518528941815911,0.02911981586625037,50.0,50.0,Neutral macro placeholder for MVP.,Neutral sentiment placeholder for MVP.,98.90633985351164,100.0,80.75881176364156,bitget RGEVUSDT price 1071.72; 20d return 12.4%; category leadership 100/100.
2,EXC,L0公用事业-数据中心负荷,NASDAQ,REXCUSDT,bitget,2026-06-24 16:00:00,47.382,74.15753566260076,56.54013905552864,50.0,58.0017601147853,0.026339730537625172,0.05905230219043345,0.18713027240921576,0.032632480319213286,50.0,50.0,Neutral macro placeholder for MVP.,Neutral sentiment placeholder for MVP.,100.0,100.0,74.50044002869632,bitget REXCUSDT price 47.38; 20d return 5.9%; category leadership 100/100.
3,SMR,L0发电核电与独立电力,NYSE,RSMRUSDT,bitget,2026-06-24 16:00:00,9.956,44.424802828392714,56.50475418294416,50.0,59.97423756018726,-0.13733645264708438,-0.24375237371819214,1.0255624630083902,-0.28855179838397566,50.0,50.0,Neutral macro placeholder for MVP.,Neutral sentiment placeholder for MVP.,0.0,100.0,49.99355939004681,bitget RSMRUSDT price 9.96; 20d return -24.4%; category leadership 100/100.
