timestamp,ticker,symbol,direction,price,quantity,balance_change,notional,fee,reason
2025-11-23 16:00:00,GEV,RGEVUSDT,BUY,571.3155149999999,3.4971954122443156,-2000.0000000000002,1998.0019980019981,1.998001998001998,bitget RGEVUSDT price 1078.04; 20d return 13.0%; category leadership 100/100.
2025-11-23 16:00:00,INTC,RINTCUSDT,BUY,35.7928875,55.82120185196006,-2000.0000000000002,1998.0019980019981,1.998001998001998,bitget RINTCUSDT price 138.54; 20d return 25.5%; category leadership 100/100.
2025-11-23 16:00:00,CARR,RCARRUSDT,BUY,52.5412575,38.027296891438084,-2000.0000000000002,1998.0019980019981,1.998001998001998,bitget RCARRUSDT price 74.25; 20d return 16.7%; category leadership 100/100.
2025-11-23 16:00:00,APH,RAPHUSDT,BUY,136.258095,14.663363655583165,-2000.0000000000002,1998.0019980019981,1.998001998001998,bitget RAPHUSDT price 165.42; 20d return 13.4%; category leadership 100/100.
2025-11-23 16:00:00,LRCX,RLRCXUSDT,BUY,150.17505,13.304486983703338,-2000.0,1998.001998001998,1.9980019980019978,bitget RLRCXUSDT price 400.00; 20d return 26.6%; category leadership 100/100.
2025-11-24 16:00:00,GEV,RGEVUSDT,SELL,562.5186,3.4971954122443156,1965.2702297548733,1967.2374672220953,1.9672374672220954,rebalance
2025-11-24 16:00:00,APH,RAPHUSDT,SELL,135.61216000000002,14.663363655583165,1986.5418877809302,1988.5304181991294,1.9885304181991295,rebalance
2025-11-24 16:00:00,LRCX,RLRCXUSDT,SELL,146.86653,13.304486983703338,1952.0298528899493,1953.983836726676,1.953983836726676,rebalance
2025-11-24 16:00:00,PLUG,RPLUGUSDT,BUY,1.9059525,1039.0284642469128,-1982.3192379015668,1980.3388990025642,1.9803388990025643,bitget RPLUGUSDT price 2.61; 20d return -32.6%; category leadership 100/100.
2025-11-24 16:00:00,NOW,RNOWUSDT,BUY,164.592255,12.031786665797636,-1982.3192379015668,1980.3388990025642,1.9803388990025643,bitget RNOWUSDT price 92.93; 20d return -31.7%; category leadership 100/100.
2025-11-24 16:00:00,EXC,REXCUSDT,BUY,46.033004999999996,42.08428774950114,-1939.2034946226188,1937.2662283942245,1.9372662283942246,bitget REXCUSDT price 46.47; 20d return 3.9%; category leadership 100/100.
2025-11-25 16:00:00,PLUG,RPLUGUSDT,SELL,1.9440275000000002,1039.0284642469128,2017.8800078709867,2019.8999077787655,2.0198999077787656,rebalance
2025-11-25 16:00:00,NOW,RNOWUSDT,SELL,160.63564200000002,12.031786665797636,1930.8010416919756,1932.733775467443,1.932733775467443,rebalance
2025-11-25 16:00:00,NOK,RNOKUSDT,BUY,6.088042499999999,329.0346085125265,-2005.179857275718,2003.176680595123,2.0031766805951228,bitget RNOKUSDT price 14.05; 20d return -13.3%; category leadership 100/100.
2025-11-25 16:00:00,LRCX,RLRCXUSDT,BUY,154.64728499999998,12.554760548525568,-1943.5011922872443,1941.5596326545897,1.9415596326545896,bitget RLRCXUSDT price 400.00; 20d return 26.6%; category leadership 100/100.
2025-11-26 16:00:00,CARR,RCARRUSDT,SELL,54.3871928,38.027296891438084,2066.1297297697865,2068.197927697484,2.068197927697484,rebalance
2025-11-26 16:00:00,EXC,REXCUSDT,SELL,46.666655,42.08428774950114,1961.9690043893693,1963.932937326696,1.963932937326696,rebalance
2025-11-26 16:00:00,NOK,RNOKUSDT,SELL,6.1069450000000005,329.0346085125265,2007.386861025249,2009.3962572825315,2.0093962572825315,rebalance
2025-11-26 16:00:00,SNDK,RSNDKUSDT,BUY,215.22385814999998,9.332434140839371,-2010.5710442039522,2008.56248172223,2.00856248172223,bitget RSNDKUSDT price 2145.42; 20d return 18.9%; category leadership 100/100.
2025-11-26 16:00:00,MARA,RMARAUSDT,BUY,11.2958451,177.81427276496825,-2010.5710442039522,2008.56248172223,2.00856248172223,bitget RMARAUSDT price 14.27; 20d return -3.9%; category leadership 100/100.
2025-11-26 16:00:00,PLTR,RPLTRUSDT,BUY,166.333125,12.0755410668935,-2010.5710442039522,2008.56248172223,2.00856248172223,bitget RPLTRUSDT price 113.32; 20d return -29.4%; category leadership 100/100.
2025-11-28 16:00:00,LRCX,RLRCXUSDT,SELL,155.42225000000002,12.554760548525568,1949.337843530415,1951.2891326630781,1.9512891326630781,rebalance
2025-11-28 16:00:00,SNDK,RSNDKUSDT,SELL,222.87850500000002,9.332434140839371,2077.9189703519173,2079.9989693212387,2.0799989693212386,rebalance
2025-11-28 16:00:00,GEV,RGEVUSDT,BUY,600.069885,3.4825121273919684,-2091.840402446999,2089.750651795204,2.089750651795204,bitget RGEVUSDT price 1078.04; 20d return 13.0%; category leadership 100/100.
2025-11-28 16:00:00,SMR,RSMRUSDT,BUY,20.13006,96.23675351119152,-1939.1888740078814,1937.251622385496,1.9372516223854959,bitget RSMRUSDT price 10.47; 20d return -20.5%; category leadership 100/100.
2025-11-30 16:00:00,SMR,RSMRUSDT,SELL,18.3858025,96.23675351119152,1767.620553354651,1769.389943297949,1.769389943297949,stop loss
2025-11-30 16:00:00,MARA,RMARAUSDT,SELL,10.89455,177.81427276496825,1935.2692788662332,1937.206485351585,1.937206485351585,rebalance
2025-11-30 16:00:00,ARM,RARMUSDT,BUY,134.3421375,14.871197298463278,-1999.8262606920423,1997.8284322597824,1.9978284322597823,bitget RARMUSDT price 380.48; 20d return -8.6%; category leadership 100/100.
2025-11-30 16:00:00,LRCX,RLRCXUSDT,BUY,155.387655,10.949146567142176,-1703.0635715288422,1701.3622093195227,1.7013622093195226,bitget RLRCXUSDT price 400.00; 20d return 26.6%; category leadership 100/100.
2025-12-01 16:00:00,GEV,RGEVUSDT,SELL,597.351175,3.4825121273919684,2078.2024285380926,2080.282711249342,2.080282711249342,rebalance
2025-12-01 16:00:00,LRCX,RLRCXUSDT,SELL,157.48122,10.949146567142176,1722.5606743930093,1724.2849593523617,1.7242849593523617,rebalance
2025-12-01 16:00:00,PLUG,RPLUGUSDT,BUY,2.0260124999999998,1021.1984319440226,-2071.029748887088,2068.960788098989,2.068960788098989,bitget RPLUGUSDT price 2.61; 20d return -32.6%; category leadership 100/100.
2025-12-01 16:00:00,MARA,RMARAUSDT,BUY,11.990992499999999,144.10861725543725,-1729.7333540440136,1728.0053486953184,1.7280053486953184,bitget RMARAUSDT price 14.27; 20d return -3.9%; category leadership 100/100.
2025-12-03 16:00:00,ARM,RARMUSDT,SELL,140.159885,14.871197298463278,2082.260957861759,2084.3453031649237,2.0843453031649237,rebalance
2025-12-03 16:00:00,MARA,RMARAUSDT,SELL,12.43378,144.10861725543725,1790.0230282152525,1791.8148430583108,1.7918148430583107,rebalance
2025-12-03 16:00:00,GEV,RGEVUSDT,BUY,630.4850849999999,3.3577873014511437,-2119.151846979512,2117.0348121673446,2.117034812167345,bitget RGEVUSDT price 1078.04; 20d return 13.0%; category leadership 100/100.
2025-12-03 16:00:00,SMR,RSMRUSDT,BUY,22.011,79.56843207210761,-1753.1321390974997,1751.3807583391606,1.7513807583391607,bitget RSMRUSDT price 10.47; 20d return -20.5%; category leadership 100/100.
2025-12-04 16:00:00,INTC,RINTCUSDT,SELL,41.9040375,55.82120185196006,2336.7946019639044,2339.133735699604,2.3391337356996043,rebalance
2025-12-04 16:00:00,NOW,RNOWUSDT,BUY,171.795855,12.437712856891451,-2138.884262008654,2136.7475144941595,2.1367475144941595,bitget RNOWUSDT price 92.93; 20d return -31.7%; category leadership 100/100.
2025-12-05 16:00:00,NOW,RNOWUSDT,SELL,171.53419000000002,12.437712856891451,2131.359507359102,2133.4930003594613,2.1334930003594614,rebalance
2025-12-05 16:00:00,MARA,RMARAUSDT,BUY,11.755875,180.03934865737125,-2118.6365979753714,2116.520077897474,2.116520077897474,bitget RMARAUSDT price 14.27; 20d return -3.9%; category leadership 100/100.
2025-12-07 16:00:00,GEV,RGEVUSDT,SELL,609.6300325,3.3577873014511437,2044.9609737300364,2047.007981711748,2.047007981711748,rebalance
2025-12-07 16:00:00,MARA,RMARAUSDT,SELL,11.744125,180.03934865737125,2112.2902109351994,2114.4046155507503,2.1144046155507503,rebalance
2025-12-07 16:00:00,SNDK,RSNDKUSDT,BUY,217.33861499999998,9.59110711089188,-2086.6024537336903,2084.5179357978923,2.0845179357978925,bitget RSNDKUSDT price 2145.42; 20d return 18.9%; category leadership 100/100.
2025-12-07 16:00:00,SMCI,RSMCIUSDT,BUY,34.987485,59.578959042008655,-2086.6024537336903,2084.5179357978923,2.0845179357978925,bitget RSMCIUSDT price 33.66; 20d return -28.4%; category leadership 100/100.
